	feature_index	feature_name	feature_weight
255	255	vectorizer__aind bem	1.6588204678145966
445	445	vectorizer__ano m	1.6588204678145966
156	156	vectorizer__adm	1.6636264155041587
67	67	vectorizer__ach absurd	1.6767524154085116
111	111	vectorizer__acord ced	1.6779162907455643
248	248	vectorizer__ai	1.6897148472575596
381	381	vectorizer__amig banc	1.702671847931518
25	25	vectorizer__abril ariquem ro	1.708644099558917
194	194	vectorizer__afim	1.7100926346947378
55	55	vectorizer__aceit	1.720578210506321
298	298	vectorizer__alegr	1.731956655170914
280	280	vectorizer__ajust	1.74254409720287
262	262	vectorizer__aind n tenh	1.7523564054235177
264	264	vectorizer__aind pi	1.7524103344766977
289	289	vectorizer__al vio	1.766259268837433
335	335	vectorizer__alm ar	1.7695091436642274
316	316	vectorizer__algum cois urlh	1.777277420247722
27	27	vectorizer__abril semin rio	1.7810901863206972
311	311	vectorizer__algu m pr	1.7846489046452574
245	245	vectorizer__ah t	1.7863470835757
457	457	vectorizer__ant diss	1.7930094204715628
128	128	vectorizer__act	1.7988326742268963
325	325	vectorizer__alian	1.812468512316576
94	94	vectorizer__ach urlh	1.8152561592158638
242	242	vectorizer__ah	1.827133074282513
421	421	vectorizer__angol cur desej	1.8314234609848672
72	72	vectorizer__ach burr mulh	1.831517853435748
419	419	vectorizer__angol cub venezuel	1.8389664633520144
189	189	vectorizer__aescritoraeomus blogspot revis	1.8433378020792723
299	299	vectorizer__alem	1.8433979489042125
337	337	vectorizer__alt baix	1.84672273614825
140	140	vectorizer__ada pra dar	1.8649082559007872
201	201	vectorizer__ag	1.8676416240026354
263	263	vectorizer__aind n ter	1.872606549937417
345	345	vectorizer__am m	1.8780254137152566
458	458	vectorizer__ant nio	1.8802389522270542
403	403	vectorizer__an nim	1.8866647849291882
160	160	vectorizer__ado	1.8908935864428644
85	85	vectorizer__ach n	1.8940799857807329
36	36	vectorizer__abus sex	1.9011898104187195
360	360	vectorizer__amanh pq	1.9047784011274884
223	223	vectorizer__agor sab	1.9123611704142567
44	44	vectorizer__acab ess	1.9153833173487853
328	328	vectorizer__alien	1.9393074510744797
404	404	vectorizer__ana	1.9415668241195356
340	340	vectorizer__alv	2.0287258881235757
441	441	vectorizer__anj	2.0486056353297317
377	377	vectorizer__americ caribenh	2.063714780688767
35	35	vectorizer__abus post recent	2.1020899425726967
198	198	vectorizer__afirm	2.1258900489573604
70	70	vectorizer__ach bonit	2.1269543871054437
163	163	vectorizer__ado q	2.1490149461723695
265	265	vectorizer__aind prop	2.200470576331683
414	414	vectorizer__angelin	2.2132002587558866
118	118	vectorizer__acostum	2.2534416679089593
386	386	vectorizer__amig mentionh www	2.2584050947556342
434	434	vectorizer__angol n wi	2.270031490565574
308	308	vectorizer__algu m algum	2.329443521769932
229	229	vectorizer__agor urlh	2.342611138143206
179	179	vectorizer__ae urlh	2.3434869938925535
146	146	vectorizer__ader grev	2.432631618073512
172	172	vectorizer__adquir	2.53980673794061
136	136	vectorizer__ada	2.599677840757874
219	219	vectorizer__agor nov	2.624160027545057
203	203	vectorizer__agarr menin	2.7647864791565775
456	456	vectorizer__ant	2.7817586444404667
257	257	vectorizer__aind est	2.961333293444543
213	213	vectorizer__agir contr lav	3.143788128777015
431	431	vectorizer__angol n noss	3.1771589729028364
177	177	vectorizer__advog	3.186996828448111
384	384	vectorizer__amig mentionh	3.2571800778808706
119	119	vectorizer__acr	3.3460491774280903
60	60	vectorizer__aceit ser	4.766262332929311
409	409	vectorizer__and	5.7443974848279
408	408	vectorizer__anavit	6.5877491435469775
145	145	vectorizer__ader	6.674637764497286
155	155	vectorizer__adivinh	7.085700938702136
